Unnamed: 0,date,tweet_content,user_name,id,Tweet Category
423,2023-06-26 23:24:40+00:00,@CoinDesk @Apple @damusapp @AppStore @jb55 @FrederickMunawa I will switch for android. Apple you can take off my freedom and push me to way what is good for you. Apple is becoming the biggest bullshit with this.,VictorAUS2,1.63E+18,APPL
428,2023-06-26 23:11:30+00:00,"@CoinDesk @Apple @damusapp @AppStore @jb55 @FrederickMunawa they are saying that if there is a app that could enable a content creator to be ""paid"" by its fans, without apple's ""in-app-purchase"" haircut, THAT APP SHALL NOT EXISTS IN THE ECOSYSTEM RULED BY APPLE; or in other words you cannot influence anyone without their tax first........",brngflwr,1.63E+18,APPL
708,2023-06-26 22:23:57+00:00,"+moomoo-demo-trade. 182775373R1NUp89. 
log:2023-6-27am7. https://t.co/SIPWK0omDn ., 
USD: 969,397.79:Google(GOOG. US). 3572.70/30. Google(GOOGL. US). 3550.20/30. Microsoft(MSFT. US). 9858.00/30. Apple(AAPL. US). 5558.10/30. BASEInc(https://t.co/IAcrHjUHa0). 58950.00/30000. Shopify(https://t.co/MVLK3Jb3EH). 632500.00/10000. 
JPY: 19,758,987.00:BASE(https://t.co/sJqLczpvJB). 795000.00/30000. 
HKD: 981,683.28:BASECARE-B(https://t.co/iPipiYSFU5). 159500.00/50000. 
CNY: 956,940.37:Micro-Tech(https://t.co/FmMGfdrClF). 715,230.00/9000. 
SGD: 998,986.03:NoonTalkMedia(https://t.co/gpluLaZMsG). 13000.00/100000.",R1NUp89,1.63E+18,APPL
740,2023-06-26 20:58:49+00:00,"7️⃣ Companies Make Up Over 50% of the NASDAQ 100

$MSFT
$APPL
$GOOGL Class A
$GOOG Class C
$AMZN
$NVDA
$META
$TSLA https://t.co/uucPFFcbLE",Dividend_Dr,1.63E+18,APPL
807,2023-06-26 19:41:43+00:00,"#DraganflyInc and VEDTS join hands to provide specialized #Drone training for Canadian veterans. Opening doors to diverse use cases and industry applications. 

$AMD $DPRO $GOOG",onehannahharper,1.63E+18,APPL
832,2023-06-27 03:02:47+00:00,Appl normal,emfrooze,1.63E+18,APPL
833,2023-06-27 03:01:53+00:00,@Deuce6ix @DaUnreleasedGo2 Look up the Kanye tracker... Hurricane has like 40 versions,APPL_ZZ,1.63E+18,APPL
834,2023-06-26 02:59:24+00:00,im not in writers block AND i have an ao3 acc now. this means sbi angst coming kind of.. somewhat soon. felt silly :3,Pin3appl3boy,1.63E+18,APPL
835,2023-06-26 02:58:58+00:00,"#LSA_Highlight: [Research Article] Broadband picometer-scale resolution on-chip spectrometer with reconfigurable photonics. @Cambridge_Uni #Imaging_and_sensing #Integrated_optics
https://t.co/b5OJjQFFA9 https://t.co/C351sBiN4H",LightSciAppl,1.63E+18,APPL
836,2023-06-26 02:55:52+00:00,"#LSA_Highlight: [Research Article] Expanding chiral metamaterials for retrieving fingerprints via vibrational circular dichroism. @NUSingapore @astar_research #Circular_dichroism #Infrared_spectroscopy #Metamaterials #Mid-infrared_photonics 
https://t.co/9zoEKtgXd7 https://t.co/Ku0jw0IfPa",LightSciAppl,1.63E+18,APPL
